,product_name,user_rating,product_review
10,Shiner Bock,4.44,a fantastic brew when had fresh on tap in season. does not age well in the bottle though. drink it fresh and you get saison qualities. a staple quality beer from my part of the country (oklahoma).
11,Shiner Bock,3.36,i tried a pint of this beer off the tapper at the united club at the houston texas airport. it poured a clear copper with fizzy white head that eventually dissapates and leaves no lace. the scent had german malt and grain presence. the taste was nicely balanced and easy to drink with semi sweet german bock malt base with grain presence. the mouthfeel was lighter in body with good carbonation. overall it is a good beer.
12,Shiner Bock,1.42,choked one down. tastes like soy sauce left in the heat. over watery and smells like an old boot. i couldnt even finish the whole thing. mouthfeel is like sandpaper.
13,Shiner Bock,3,overpriced swill dont buy; thats what i think.
14,Shiner Bock,1.7,bad. watery flavorless tasteless. that\s all i have to say. can\t find 150 words to say mediocre. but at 103 i have to repeat watery flavorless thats it. ive reached 150.
15,Shiner Bock,3,tastes like the tap water version of michelob amberbock not a repurchase. the drill sergeant from full metal jacket might have been right about a few things is all i’m saying.  style: bock | tap/can/bottle: bottle | abv: 4.5% | rating: 3
16,Shiner Bock,4.89,it kind of reminds me of coca cola but without all the sugar  its one of my go to beers for flavor and taste
17,Shiner Bock,3.85,if you hate on shiner you are probably: 1. young 2. not from texas 3. use beer reviews to feel better about your sorry life compared to todays brews it is certainly underwhelming and not particularly complex. for those of you living in austin in the early 90’s well before it became an unrecognizable doppelgänger of itself shiner was the best thing around. the revenge of the nerds of beers - dated but better than a lot of stuff that comes out in 2023. the eternal foil to aal’s.
18,Beer 30 Light,1,bought this when in college for a party. tasted of sour wine body odor and skunked beer.  there was beer left in the fridge at the end of the party. if already inebriated college kids wont drink it i dont know how it could ever be considered worth paying any amount of money for it.
19,Beer 30 Light,3,dude this is a light beer and the cheapest one do since all light beer tastes the same this should be the most popular one. it was about 12-13 years ago (because thats when the 08 recession hit and i closed shortly after) i sold it for $1 a can. we started calling it millionaire beer cause everyone pretended they were rich buying rounds for everyone.
20,Beer 30 Light,1,have only thrown up once due to alcohol in my life and this beer was the culprit. stinks of urine tastes like urine stirred with sweaty gym socks and leaves the heaviest nastiest hangover you will ever suffer from. avoid this beer at all costs. the worst excuse for an alcoholic beverage i have ever had the misfortune to imbibe.
21,Beer 30 Light,1.44,not as good as beer 30 ice. not got at all actually.
22,Beer 30 Light,1,i usually would never give any beer this low a score but it is the beer i will always remember not for good reason. i was in college and consistently drank terrible beer weekly. the usually adjunct lagers and even worse. this beer was unpalatable for me even when i drank bmc beers on the reg and thought they were good. a couple friends and i pick it up for a game of beer pong in college and left it sitting in the corner of the garage. it was awful. try it just to say youve had the worst beer ever made.
23,Beer 30 Light,1,i busted a party with some kids and they were drinking this stuff. smelled like old garbage and farts. one kid said they paid $8 for a 30 pack. thats cheaper than natty light. they were underage so i had them pour it out.  came back to that same house a week later for another underage party and the grass was dead in the spot they poured out last weeks batch. id avoid this swill
24,Double Sunshine,4.69,poured from the can into a lawsons branded tulip/goblet glass. canned april 26th 2023.  beamin juicy orange colored body with a touch of haze and light visible carbonation. three finger forming head a bit of soapy and big bubbled appearance which pops easily with light retention. still manages to stick around and leave a tall collar as well making a nice crowned appearance.  delicious aroma. hop pressing front nose with light citrus and faint touching juicy tropical notes. a nice creamy touch almost sweet vanilla mixing with a light caramel and crispy malt quality. comes off like hinting of light powdered sugar on fruity pancakes quality.  the mouthfeel on this is just unreal. an intense solid backbone that is creamy with just a light touch of pushing sweet tones on the palate. the mid hits with thick thick controlled orange and pine notes mixing sweet cream and orange and pine/earth heat. bitterness comes in the finish so ever slowly with first notes of tangerine and christmas spices then with lingering notes of pepper and wood bitterness. campfire like warmth in the back palate that just slowly sits and churns with all the orange and spices you can imagine.  fantastic ipa and hardly any hint of big abv now that i think of it. just killer stuff.
25,Double Sunshine,4.85,this stuff is an absolute treat!  l: pours a deep golden yet clear in the glass. fluffy white head of 3 fingers lasts through the session.  s: smells of grapefruit citrus dank hops and sweet bread malt.  t: grapefruit and sweet malt dominates the beginning the hops come into play by this point and play very nicely with the grapefruit. these dank citusy notes do not overpower and keep the beer tasting fresh. it finishes clean especially for a dipa.  f: nice level of carbonation feels smooth and finishes clean. incredibly drinkable for a session. just be careful with dipas with this level of drinkability.  o: incredibly well balanced dipa with an excellent flavor profile. this might be my favorite dipa i have tried to date.
26,Double Sunshine,4.02,a little disappointing. overall a solid ipa but just expected better after having sips of sunshine. surprised at the perfect 100 rating. a more citrusy flavor than sips with a noticeable grapefruit taste and not as smooth. i’d recommend as a much lighter double ipa for those that don’t prefer the heavy types.
27,Pale Ale,3.75,a classic
28,Pale Ale,3.57,12 oz can acclimated to 49°f and poured into a nonic pint.  pours a nice clear copper with a 2.5-3 finger seafoamy barely off white head leaving little leaving.  initial aroma is caramel malt a little pine and really nothing else. after agitating i kind of just get a general grainy smell. smells good just simple.  initial taste before swallowing is very sweet with a cereal grain undertone and a dry hop presence. after swallowing i get more of all of the previous with the hops being bitter and dry and seemingly growing in bitterness as i enter the aftertaste its not terribly bitter but the intensity is high.  mouthfeel is smooth and goes down easily. the carbonation fades somewhat quickly but can be conjured for a short duration through agitation it lends a pleasant creaminess through its small bubbles.  overall its solid just simple. limited flavor notes in addition to a smooth mouthfeel but a relatively strong bitterness make for an ale thats easy but not too fast to drink. would make for a good beer for when you want to not think or when you want to think. want to turn your brain off? drink something simple. want to think about something? drink something that doesnt require much thought.  may buy again not something i would go out of my way for though. if its cheap ill consider it.
29,Pale Ale,4.04,a perfect 90 no higher no lower. a solid for its category with a very long and pleasant finish
30,Pale Ale,4.05,really really good. not aggressively hoppy nice malt character. fine pale ale.
31,Pale Ale,3.43,a decent beer although much too bitter for my liking. i prefer a smoother bite. overall 2.5/5 on my palette. once you get a couple in you it is much less bitter though i will adjust my overall rating to 4.0 overall as a standard beer its a nice stronger beer. if your not drunk its a 2.5 in taste if you have a couple in you its at least a 4.0 these are the facts of life its just the way it works god bless
32,Pale Ale,4.02,poured from a 12-oz bottle into a pint glass.  appearance: orange-ish golden in color; large creamy barely-off-white head that lingered long leaving abundant lacing.  nose: pine with a slight hint of floral.  mouthfeel: light-medium.  attack: lightly-toasted malt grassy citrus; the tiniest bit of caramel provides depth.  finish: the hop bitterness comes through strong but not too aggressively.  overall: i must admit to approaching this beer with more than a bit of reverence honoring its status as a long-standing statesman among craft beers. i’m not a hophead so neither pale ales nor ipa’s are my “go-to’s.” this beer however is worthy of its status and is an ale i’d be proud to serve and drink with food pairings that scream out “pale ale!”
33,Pale Ale,3.9,pours beautifully. dark amber with a generous frothy head. slight notes of pine florals and citrus but fairly subtle on the nose. full taste though; bursts of fresh florals grapefruit citrus and hops. really enjoyable classic pale ale.
34,Pale Ale,4.07,poured from a 12 ounce bottle into a tulip glass.  look- pale amber mildly hazy visible small particulate off white creamy head average head retention and lacing.  smell- bready grassy pine grapefruit medium strength of scent.  taste- bready earthy pine grapefruit moderately bitter medium strength of flavor.  feel- medium body average carbonation moderately bitter highly creamy.  overall- pale amber and mildly hazy with average head retention and lacing. bouquet was malt forward with notes of pine and grapefruit. the flavor followed the nose well and was medium in strength. feel was medium body with moderate bitterness and highly creamy. overall this was a solid pale ale that provided a nice drinking experience but other than mouthfeel it was only slightly above average.
35,Pale Ale,4.4,finally leaving this one a review after all these years...  pours pale with some hints of orange slightly off white head ok retention but always great lacing when poured semi aggressively.  nose is an aromatic combination of light floral with some pine mixed in the malt is nicely present; very very lightly toasted in nature.  taste is nicely hoppy and balanced; a very nice malt ever so lightly toasty backbone that carries all the pine and grass from the hops.  light to medium body; very pleasing carbonation it has a softness too it; finishes with a dry and piney bitter and grassy bite.  the balance of this beer is always impressive to me it has a unique malt presence and pairs so nicely with the hops.
36,Miller 64,1.89,pours out of the can a crystal clear yellow with a fizzy head that dissipates quickly. smells like straw and sweet corn. taste follows the nose. not too much going on here. pretty watery
37,Miller 64,2.44,poured from the can into a standard pint.  a: light fizzy and effervescent as expected. pale straw color. solid tight white head.  s: faint grain. typical cheap pukey hop smell from aall type. aluminum can notes remain.  t: shockingly not as bad as nose. watery and grainy as expected. i do not hate this ice cold on a hot day like today was.  m: carbonation makes it so light that you hardly notice the underlying chalkiness but it is there i assure you. odd dryness with that bitter pill taste at ultimate finish when it warms up...did i mention to keep it really cold?  o: you might call this walrus piss. it is not intended to impress fancy beer palates. it is for long session days when you do not want to get arrested in a black-out drunken rage at the most redneck campground. you know where you overhear comments like the jailbird neighbors threatening physical violence to their tattooed floozey for not getting them another beer fast enough. it saves you from that embarassment.
38,Miller 64,2.06,12oz bottle stolen from my uncles fridge  this is so light its barely beer. very light scent and taste badly burned corn and maybe an ethereal kiss of hops like you can tell theyre there but youre not actually smelling or tasting them. this is a bust but on a low-carb diet there arent many options  bad even considering what it is...
39,Miller 64,5,great beer! to watch calories and carbs this is the best tasting beer yet. i would/will drink even when not watching weight. love the taste. it loses nothing in flavor. very crisp.
40,Miller 64,1.75,7/11/2021 9:10pm est fort myers beach fl  poured into a pint glass  look: straw yellow (srm 1) with a bright white and sparkling ocean foam head. lacing and head retention are pleasant.  smell: a faint hint of isolated oat and apple.  taste: a shadow of traditional miller. the nutty-like characteristic is present but very diluted.  feel: very light and watery with a delicate fiz.  overall: one could think about drinking a beer and it would be more like drinking a beer than drinking this beer. when the calories were cut so were the taste and abv. this is the opposite of a too high and intrusive abv beer.
41,Miller 64,1,ive had more flavorful bottles of water.
42,Miller 64,5,y do they change can sizes? they dont fit any can coolers ya twits.
43,Miller 64,5,ever since miller brewery came out with this lower alcohol beer i have been excited to be able to have the great taste of beer without all of the negative effects that i had been experiencing with the miller lite beer... i also dont have to take medication for heartburn etc. i am having a hard time understanding why i am having trouble getting the miller 64 beer! please dont stop distributing miller 64 here in pasco county florida the tampa bay area.
44,Miller 64,4.97,in my top 3 favorite beers  especially in the hot weather. why is this beer so hard to find ?
45,Miller 64,5,this is my favorite beer but it is not available at any of the many liquor stores in the trenton/hamilton areas. alot of my friends drink this beer also and our private club cant even order. what is going on with the miller company.
46,Miller 64,5,my fave!!! so sad i can barely find it now.... only bottles that are more expensive and in 12 packs... this beer is my jam! i can’t wait to have an ice cold can of it again!! nice and refreshing also great for someone that tends to drink fast! i chug everything i drink so this helps me keep my mind focused and still get to enjoy the fun! :)
47,Maclay's Traditional Pale Ale,3.92,i tried maclays on the recommendation of dj cosmo from chez 106.1 fm in ottawa. i think that it tastes better than the big brands and it costs less too.
48,Maclay's Traditional Pale Ale,3.08,i bought a can at the beer store in ontario 473ml at 5%. clear and good carbonation poured a 1finger head into glass that quickly disappeared but left a lace as you drink it. taste is light malty apple with a mild bitterness and skunky hop flavor. it feels like its watered down. overall its light and easy to drink. average . cheers
49,Maclay's Traditional Pale Ale,2.53,light colour decent yet not lasting head. overall it’s an ok beer considering the price point.
50,Maclay's Traditional Pale Ale,4.53,very good beer after a hot day in the garden. excellent value.
51,Maclay's Traditional Pale Ale,2.41,poured from the 473ml can into a tall pilsener glass. bubbly 1 inch head that diminished to a 1/4 but remained for longer than i expected. medium carbonation and attractive lacing for a few minutes after the pour. smell is faint and inoffensive - the usual hints of grain. emphasis on the first word in pale ale; very little hop flavour up-front although a bit of bitterness on the sides of the tongue and a mild hoppy bitter aftertaste at the back of the tongue. tastes watered down generally. as this is brewed by sleeman\s it carries the same profile - not too varied and drinkable. i\m sure this isn\t a faithful imitation of the original ale brewed in scotland which won awards at the turn of the 20th century. but at $1.95 a can at the lcbo it\s certainly not without its merits.
52,Maclay's Traditional Pale Ale,1.51,what utter crap masquerading behind a label with traditional pale ale and the association with scotland. i won\t even waste my time going through the indices in describing this concoction... cheap swill. period. even budweiser and tsing tao are a step above this shit!
53,Maclay's Traditional Pale Ale,2.48,wanted to do a formal review of this one so revisiting. 473 ml can served cold into a pint glass. purchased for $2 cdn.  appearance - weak pale golden straw color. decent finger of head was poured but doesnt last long. some visible bubbles and the tiniest string of lacing left behind. looks like a macro.  smell- some grainy notes and a bit of a cooked vegetable wrapped around metal vibe as well. smells like a macro.  taste - very bland i guess some coarse grainy flavor. tastes like a macro although probably a bit better than some.  mouthfeel - its wet and has a little less than average carbonation. feels like a macro.  overall - theres not too much good to say about this other than that it rates on par with macros and as far as english pale ales go its pretty bad. i suppose theres a bit of bang for your buck here but in this area why not pay 10 cents more and get spaten for an incredibly more satisfying brew?
54,Stickee Monkee,4.67,2014 bottle.  stickee monkee is a belgian-style ale brewed by firestone walker brewing co. this beer has received much recognition for its complex flavors and rich dark appearance. it is a sipper meant to be savored slowly and appreciated for its full range of flavors.  appearance: stickee monkee has a deep dark brown color with a hint of red. it has a fluffy beige head that quickly dissipates. the beer is slightly cloudy with visible sediment which is characteristic of a traditional belgian-style ale.  aroma: the aroma of stickee monkee is complex and full of depth. the beer has a strong aroma of dark fruit such as raisins figs and plums. it also has notes of caramel toasted malt and a hint of spicy earthy hops.  taste: the taste of stickee monkee is equally as complex as its aroma. it has a rich malty sweetness with notes of dark fruit caramel and toasted malt. the beer also has a slight bitterness that balances out the sweetness and helps to round out the flavors. the finish is slightly spicy with a hint of alcohol warmth.  mouthfeel: stickee monkee has a medium-to-full body with a smooth and creamy mouthfeel. the beer is not too heavy but it is substantial enough to make you feel satisfied after just one sip. it also has a slight alcohol warmth that adds to the overall experience.  overall impression: stickee monkee is an outstanding beer that is perfect for those who appreciate complex and flavorful beers. it has a great balance of sweetness bitterness and alcohol warmth that makes it a great choice for those who love a strong dark beer. the aroma and taste of this beer are incredibly rich and full of depth making it an excellent choice for those who want to savor a beer slowly and appreciate it for its full range of flavors.
55,Stickee Monkee,4.5,2021 version poured from a 12oz bottle into a snifter. after a short absence im glad to see this beer back. it is still the fine sweet goodness i remember.
56,Stickee Monkee,4.49,12oz bottle 2018 vintage that turned up in my lbs this week poured into a chalice at 47°f 11.4% abv. the beer pours opaque medium brown with light brown head. the head recedes to a thin ring and little else. no lacing. the aroma is moderate in strength featuring candi sugar raisin bourbon and leather. the taste is semisweet caramel bourbon and brown sugar with lingering tobacco oak and leather on the finish. minimal bitterness. the mouthfeel is medium plus bodied with just less that average carbonation and a semi dry finish. abv is well hidden with just a touch of heat on the back end and no ethanol aroma or taste. overall excellent.
57,Stickee Monkee,4.16,rare 2015 vintage draught pour at apex bar in portland or. presented flat. no foam at all. deep brown borders on black. smells great. dark stone fruits and that famiiar quad on the nose. taste is toes on the line too sweet but it doesn’t become cloying or teeth-achingly so. i think maybe because it’s 7 years old some if the nuances intended have been lost. but the dark brown sugar stewed plums and oak barrel all make appearances throughout the chew. feel is very dense quite viscous no carbonation. overall good to get a draught hit but 7 years of hiding has worn its beauty down.
58,Stickee Monkee,4.52,2018 vintage poured into a fw mini snifter.  dark brown pour with minimal carbonation. scents of candi sugar caramel and dried fruit. sweet flavor of candy and a warming finish. certainly a fine example of the style and one that aged well.
59,Stickee Monkee,4.44,2021 vintage consumed on 10-30-2022  a bit of smoke on the opening of the bottle. dark brown pouring with a 2 finger tan head with a fairly aggressive pour. the retention is decent and theres some lacing on the glass. the aroma is strong with dark fruit - i get a lot of plum and raisin in the nose. taste - tons of plum and raisin hit up front. theres a hint of caramel and toffee on the back. i also get a creamy flavor mixing in almost a lactose flavor. this last thing surprised me probably not getting it right. the body is very thick and full. smooth and very little alcohol burn. i love this beer and so glad i bought it.
60,Stickee Monkee,4.22,the beer is mahogany dark brown color. the beer fizz with sound while pouring but leaves a thin layer of foam only which disappears very quickly. the beer smells dark smoky brown sugar coffee leather molasses and whiskey barrel oaky. the wooden oaky barrel aroma is distinct it’s clearly a barrel-aged strong ale.  the beer is full bodied velvety latte creamy with a bit of fizz tickling on tongue. the beer is moderate sweet (it’s 2016 bottle? 6 years later it’s still not dry?) with a bold palate with a bit sour (tart cherry) light bitter and subtle salty at back. the taste is great renders the beer bold but the flavor is on the stout side than a quad (which should be drier?) to me. the malty backbone is strong and there’s dark sugar (turbinado brown sugar from mexico) added which is not that fruity but with molasses and toffee candy hints. when i sip i sense some dark chocolate roasted chestnut nutty alcohol burn salted toffee candy leather and tobacco earthiness whiskey filled chocolate bottle dried fig and raisin aromas. the beer taste bold very malty and dark sugar characters but it’s not ester heavy nor fruity. my feeling of this beer is a serious gentleman who will not wink or smile but just sitting still and sipping cigar. this is a malty beverage really malty i think it may need another 5 years of aging to became more mellow. i expect more layers in this beer but currently it’s just a bit too sweet (malty) to enjoy.
61,Stickee Monkee,4.5,2017 vintage... poured from a boxed bottle into a dogfish head tulip  l: dark mahogany grown pour... cloudy and with 2 fingers of off-white head. great retention/lacing.  s: rich and malty. brown sugars molasses spice and grains.  t.f: semi-sweet and rich. loads of toffee caramel and molasses. dark fruits... with fig and baked raisin. baking spice and plum. tobacco leather vanilla and oak. boozy and smooth. medium bodied... warming.  o: an elite belgian quad from california. held up superbly in the cellar and a pleasure to finally crack this one.
62,Stickee Monkee,4,sweet. too sweet.
63,Stickee Monkee,4.41,2021 vintage  sweet overall but with a lot layers to keep it interesting. brown sugar and toffee up front plus some subtle raisin. the end adds a nice lightly tart cherry note and subtle oak. the bourbon notes are smooth mellow and well incorporated.
64,Stickee Monkee,4.56,2016 vintage. poured at 54°. brown with ruby body; good clarity; quick beige head; thin ring poor cap retention no lace; thin legs. fruity esters; caramel malt leather tobacco candied yams. taste follows with caramel apple sweetness bourbon oak and brown sugar/molasses. feel is thin silk body is medium carbonation is light; faint warmth from 11.6%. abv. overall a wc ba quad style! no oxidation after almost 6 years the nose is heady fruity corse earthy aromas the taste is subtle - rich umami base with dancing sweeter notes of sugar fruit and belgian yeast in the higher register. a beer worthy of aging and may even advance another 2-3 years taste-wise - onward science!
65,Stickee Monkee,3.79,l: pours a reddish brown small khaki head fades quickly to a small ring no lacing. s: fragrant it is molasses burnt sugar a hint of booze. t: lotsa stuff going on here molasses tobacco coconut burnt sugar and booze. f: medium bodied not much carbonation. o: way to sweet i had a hard time getting thru this.
66,Steel Reserve 211 (High Gravity),4.04,sweet malty not much hop taste. much better than i thought it would be.
67,Steel Reserve 211 (High Gravity),4.54,i got the canned version and didnt know anything about this beer. it was such a pleasant mouthful taste and overall experience to drink. its smooth with light carbonation feel. it tastes malty and not too sweet. when i think of good beer this is what i envision and look for.
68,Steel Reserve 211 (High Gravity),1.7,poured into a pint glass from a 24 oz can. looks like typical mass produced brew not bad and managed to leave a smidgen of lacing. reality hits you in the face once ya take a few sips. no depth just a sugary mess that coated the roof of my mouth with a taste and sensation that not even ai can identify. brought back bad memories of hangovers from early college days. drain pour.
69,Steel Reserve 211 (High Gravity),2.34,look: medium dark orange with a fluffy white head.  smell: lights barley notes give way to sweet booziness. its almost sickly sweet.  taste: overly sweet with a touch of malt.  feel: thicker bodied than a standard lager.  overall: i wouldnt recommend.
70,Steel Reserve 211 (High Gravity),3.58,rated for style: 8.1 malt liquor. its february 11th (2/11) 2023. drank from a 24 oz can in a trailer park. look: i honestly dont remember. i always drink it from a can (24oz) smell: nothing offensive. cant smell much probably because im drinking from a can. taste: like a typical aal with a sweet aftertaste. for an 8.1 very good. feel: not much carbonation goes down smooth overall: this is designed to give one a buzz quickly and is well suited to this task.
71,Steel Reserve 211 (High Gravity),2.65,poured from a 24oz can  on the pour a finger of acceptable fizzy white head formed on top of a clear deep gold body. after 5 or less minutes there was zero head retention and it ends up looking like a glass of piss.  aroma is of stale 6-row covered by a big fruity mistreated yeast ester or phenol thing. not stinky like some of these hg malt liquors but not a pleasant lager aroma.  taste is an improvement on the aroma. at first sip it comes off as a bit bitter from hop extract and too many esters but the more you drink a soft (still stale) graininess comes through for a decently good for hg finish.  feel is dangerous for the abv. surprisingly easy drinking and smooth after the initial shock to the system. i can put down a pint of this just as fast as a lower gravity malt liquor or even an mhl. medium malty finish that is surprisingly pleasant.  overall this was a bit of a pleasant surprise. after anhueser buschs hurricane i just assumed all hg malt liquors were undrinkable swill but this one has detectable grain and vague hop bitterness making this one of the better ive had.
72,Steel Reserve 211 (High Gravity),2,shitty i guess but good. you know like your mom’s backside.  update 8/23: i am changing grade from 3 to 2. i don’t remember what it taste like but i like pbr better now. shout it from the hilltops.
73,Steel Reserve 211 (High Gravity),2.5,now i may be biased in my enjoyment of natty daddys but as a person who only drinks diet soda never regular. accidentally getting these as a replacement to natty daddys as my cheap high abv drink of choice they are cloyingly sweet. almost undrinkable to me. i agree i may be obviously biased and while i huge opponent to ipas and other bitter beers a sweetness like this is not agreeable to my palate. hands down.
74,Steel Reserve 211 (High Gravity),4.35,i made this account to rate this beer; amazing
75,Steel Reserve 211 (High Gravity),5,love this beer. i am 76 years old and have been drinking beer for 58 years. this beer is the best i have had. fantastic!
76,Steel Reserve 211 (High Gravity),5,it is not often i find a beer that i just love but this is one of a handful. i tend to enjoy beer that is not too bitter. this is very smooth. just the right amount of body. not fruity but not too earthy. overall i really love this beer.
77,Samuel Adams Summer Ale,3.2,lets not be verbose yeah?  looks fine smells like your standard citrus wheat tastes a little like fruity pebbles and is awful lite. crisp and snappy carbonation kinda saves the mouthfeel but i wont be reaching for seconds.
78,Samuel Adams Summer Ale,1.18,this was one of the nastiest tastings beers i’ve ever had. it looked good but tasted like apple cider vinegar. i guess if you’re used to drinking crappy beer then this is a good one. but if you’re used to drinking craft beer then this rivals the cigarette ash tasting miller lite. never again! this could be the last beverage on earth and i’d opt to die of thirst.
79,Samuel Adams Summer Ale,3.34,this is a refreshing beer. it pours without much of a head and is light looking. it has a distinct lemon flavor like the porch rocker variety but has more substance with the citrus and wheat flavors that accompany it. good served cold in season.
80,Samuel Adams Summer Ale,3.56,this is an okay beer. nothing fancy and nothing extraordinary but it is crisp vibrant and smooth as well as refreshing for the summertime. it has no real smell; perhaps faint lemon peel? the taste is faint lemon and citrus notes with a pinch of wheat. overall this one is worth a try when in season iced cold and if youve at least never tried it before.
81,Samuel Adams Summer Ale,3.21,pours murky yellow with a white cap that fades rapidly. minimal lacing. aroma is faint lemony and some grain. flavor is also mild citrusy and bready. feel is medium bodied with adequate carbonation. overall just another drinkable beer without any outstanding qualities.
82,Samuel Adams Summer Ale,3.38,this is another backlog rating where i know for sure ive had it and have a vague recollection of my thoughts on it. not sure how this slipped through the cracks all these years!
83,Samuel Adams Summer Ale,2.22,another american-style beer that is overly sweet to my taste this one resembles a higher-end version of modelo especial or miller high life. it does not have strong smells maybe has a faint hint of citrus but mostly has a nice easy not too intense taste with a lot of sweetness and a little more alcohol than is normal for this type of beer. i thought it was quite good for what it was but would prefer less of a confection.
84,Samuel Adams Summer Ale,3.57,a medium light haze in an orange-amber golden body. nose is citrusy - a little more lemon than orange but a mix of both. taste and feel seem a little watered down after that impression. it’s a little spritzy in carbonation but fairly light and refreshing with a medium dry finish. wheat influence isn’t as strong as i’d hoped for and the citrus is a little weak on the palate with a mix of orange and lemon peel coming out as it warms.
85,Samuel Adams Summer Ale,2.59,a great golfing beer. refreshing with a little taste.
86,Heady Topper,4.96,for me this is the goat. don’t want to repeat what has already been said but it just has an unbelievable balance and a je ne sais quoi that is extremely satisfying to enjoy. a beer that elevates the experience from a tasty beverage to something to transform the simple act of drinking into something more thought provoking. also for me it is much more balanced than focal which some prefer. cheers.
